collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
406,NI_Solling3,https://ecosound-web.de/ecosound_web/collection/show/406,David Singer,"",2023-12-15,none,none,none,Terrestrial,air,"Solling mountains, Lower Saxony, Germany","40 sites in 9 clusters, 5 in old-growth oak stands, 4 in old-growth beech stands",none,analysed with BirdNET V2.2
1505,NI_Solling2,https://ecosound-web.de/ecosound_web/collection/show/1505,"David Singer,Jonas Hagge","",2023-12-15,none,none,none,Terrestrial,air,"Solling mountains, Lower Saxony, Germany",40 sites along a gradient of habitat tree density,none,analysed with BirdNET V2.2
1506,NI_NWE-Monitoring,https://ecosound-web.de/ecosound_web/collection/show/1506,"David Singer,Jonas Hagge","",2023-12-15,none,https://www.nw-fva.de/forschen/projekte/nwe-monitoring-ni,none,Terrestrial,air,"Lower Saxony, Germany",256 sites in managed and unmanaged forests across Lower Saxony,none,analysed with BirdNET V2.2
1507,TH_Hainich,https://ecosound-web.de/ecosound_web/collection/show/1507,"David Singer,Jonas Hagge","",2023-12-15,none,none,10.1002/rse2.385,Terrestrial,air,"Thuringia, Hainich national park, Germany",60 sites in beech stands within in Hainich national park,none,analysed with BirdNET V2.2
1010,U Iceland Vestmannaeyjar,https://ecosound-web.de/ecosound_web/collection/show/1010,"Filipa Isabel Pereira Samarra,Paul Jacobus Wensveen","",2023-12-31,none,https://icelandic-orcas.com,none,Marine,water,"Vestmannaeyjar, Iceland",This is the location of a long-term research project on killer whales,none,""
1011,U Iceland Hypmo,https://ecosound-web.de/ecosound_web/collection/show/1011,Paul Jacobus Wensveen,"",2024-01-09,none,https://hypmo.org,none,Marine,water,"Iceland and Azores, Portugal",Acoustic monitoring as part of the Hypmo project on northern bottlenose whales,none,""
1018,HJAndrews_Experimental_Forest,https://ecosound-web.de/ecosound_web/collection/show/1018,"Nina Ferrari,Matthew G Betts","",2023-12-27,none,none,none,Terrestrial,air,"H. J. Andrew Experimental Forest, Blue River, Oregon, U.S.A.","Stratified random selection of paired sites , 14 total. 7 in old-growth (~300-500 year old) forested stands , 7 in second-growth (~60 year old) forested stands).",none,""
1012,COFAV corridor-Madagascar,https://ecosound-web.de/ecosound_web/collection/show/1012,Carly Batist,"",2024-02-07,none,none,none,Terrestrial,air,Sites across the Ambositra-Vondrozo Forest Corridor (COFAV) in southeastern Madagascar,Place along top of ridgelines where possible to maximize detection radius,none,""
1013,Mangevo-Ranomafana NP-Madagascar,https://ecosound-web.de/ecosound_web/collection/show/1013,Carly Batist,"",2024-02-07,none,none,10.1002/ajp.23599,Terrestrial,air,"Mangevo, Ranomafana National Park, southeastern Madagascar",placed within different ruffed lemur group home ranges,none,""
1015,earl2022-2023 - Moshannon,https://ecosound-web.de/ecosound_web/collection/show/1015,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,none,Terrestrial,air,Central Pennsylvania,Random but with 50m buffer from roads and trails,none,""
1052,earl2022-2023 - Ohiopyle,https://ecosound-web.de/ecosound_web/collection/show/1052,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,none,Terrestrial,air,Southwest Pennsylvania,Random but with 50m buffer from roads and trails,none,""
1016,appl2021,https://ecosound-web.de/ecosound_web/collection/show/1016,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,none,Terrestrial,air,Southwest and Central Pennsylvania,Stratified by forest type,none,""
1023,appl2022,https://ecosound-web.de/ecosound_web/collection/show/1023,"Justin Kitzes,Chapin Czarnecki","",2024-03-18,none,none,none,Terrestrial,air,Southwest and Central Pennsylvania,Stratified by forest type,none,""
1017,dela2022,https://ecosound-web.de/ecosound_web/collection/show/1017,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,none,Terrestrial,air,Northeast Pennsylvania,Stratified by forest type,none,""
1019,pnre2020-2022,https://ecosound-web.de/ecosound_web/collection/show/1019,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,10.1002/ecy.3329,Terrestrial,air,Powdermill Nature Reserve in central Pennsylvania,"Non-random, placed for convenience of access",none,""
1020,ploe2022,https://ecosound-web.de/ecosound_web/collection/show/1020,"Justin Kitzes,Chapin Czarnecki","",2024-02-27,none,none,none,Terrestrial,air,"Pymatuning, northwest Pennsylvania",Targeted frog breeding areas,none,""
1022,South Iceland,https://ecosound-web.de/ecosound_web/collection/show/1022,"Maite Cerezo-Araujo,Tómas Grétar Gunnarsson","",2024-03-12,none,none,none,Terrestrial,air,"Region of South Iceland (Suðurland), Iceland",Relationship between frequency of bird calls related to their breeding density,none,"PAM, one recorder per site working 24/7 during May-July, 2020 and 2021"
292,Tazin Lake Upland,https://ecosound-web.de/ecosound_web/collection/show/292,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
293,Selwyn Lake Upland,https://ecosound-web.de/ecosound_web/collection/show/293,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
363,Mid-Boreal Uplands,https://ecosound-web.de/ecosound_web/collection/show/363,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
1024,Mid-Boreal Lowland,https://ecosound-web.de/ecosound_web/collection/show/1024,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
1025,Interlake Plain,https://ecosound-web.de/ecosound_web/collection/show/1025,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
1026,Churchill River Upland,https://ecosound-web.de/ecosound_web/collection/show/1026,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
1027,Boreal Transition,https://ecosound-web.de/ecosound_web/collection/show/1027,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
1028,Athabasca Plain,https://ecosound-web.de/ecosound_web/collection/show/1028,Steven Van Wilgenburg,"",2024-04-03,none,none,none,Terrestrial,air,"","",none,""
239,VSS4f/wOOD,https://ecosound-web.de/ecosound_web/collection/show/239,Saskia Dröge,"Muhammad Justi Makmun Jusrin,Dadang Dwi Putra,Hajar",2024-04-22,none,https://ees.kuleuven.be/project/vss4fwood,none,Terrestrial,air,"Luwu Timur, Sulawesi Selatan, Indonesia",Selection of 51 cocoa plantation in Luwu Timur (Rainforest Alliance certified & non-certified),none,""
1041,West Coast of South Africa,https://ecosound-web.de/ecosound_web/collection/show/1041,Fannie W. Shabangu,"Dawit Yemane,George Best,Bobbi J. Estabrook",2024-05-07,none,none,10.1016/j.marpolbul.2022.114122,Marine,water,West Coast of South Africa,Acoustic autonomous recorders in the deep ocean,none,""
1042,"Prince Edward Islands, Southern Ocean",https://ecosound-web.de/ecosound_web/collection/show/1042,Fannie W. Shabangu,"Dawit Yemane,Bobbi J. Estabrook",2024-05-08,none,none,none,Marine,water,"Sub-Antarctic Islands, Southern Ocean",Acoustic recorder deployed between Marion Island and Prince Edward Island,none,""
1043,"Maud Rise, Southern Ocean",https://ecosound-web.de/ecosound_web/collection/show/1043,Fannie W. Shabangu,"Rex K. Andrew,Dawit Yemane,Ken P. Findlay",2024-05-08,none,none,10.3354/esr01050,Marine,water,"Weddell Sea, Antarctica",Single location recording,none,""
1044,"Anabohazo, North West Madagascar",https://ecosound-web.de/ecosound_web/collection/show/1044,Daniel Hending,"Heriniaina Randrianarison,Niaina Nirina Mahefa Andriamavosoloarisoa",2024-05-15,none,none,none,Terrestrial,air,"Anabohazo Forest, NW Madagascar",40 different locations throughout the forest,none,"PAM of 40 different sites throught forest (20 edge, 20 core), one week recording per site, recordings 18:00 - 05:00 local time"
1046,Santarém Forest Landscapes 1,https://ecosound-web.de/ecosound_web/collection/show/1046,Oliver Metcalf,"Alexander C. Lees,Jos Barlow,Stuart Marsden,Erika Berenguer,Liana Chesini Rossi",2024-05-15,none,none,"10.1111/2041-210X.13521,10.1002/rse2.227,10.5061/dryad.69p8cz94j",Terrestrial,air,"Santarém, Pará, Brazil",29 different recordings sites over a 1 million ha landscape,rain,"PAM across a gradient of forest degradation (Primary undisturbed, burnt, logged and secondary forest in 2018"
